X,,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1
2340,26291,2310629391,MF786257,Matayba peruviana,-59.82,5.28,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2341,26292,2309967589,MF785339,Matayba peruviana,-59.82,5.28,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2351,26306,2311175604,MF786099,Mickelia nicotianifolia,-60.72,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2377,26341,2309324743,MF786395,Micrandra spruceana,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2378,26346,2310271243,MF786348,Microgramma baldwinii,-60.84,5.52,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2379,26347,2309327790,MF786141,Microgramma baldwinii,-60.84,5.52,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2386,26360,2309307952,MF786386,Minquartia guianensis,-60.51,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2387,26361,2306802030,MF785421,Minquartia guianensis,-60.51,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2388,26362,2306219327,MF786163,Minquartia guianensis,-60.51,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2536,26729,2309782169,MF786259,Nautilocalyx cordatus,-59.48,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2537,26730,2305340860,MF785342,Nautilocalyx cordatus,-59.48,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2544,26737,2305318519,MF786249,Navia barbellata,-60.52,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2545,26738,2304944666,MF786070,Navia barbellata,-60.52,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2554,26750,2311096384,MF785376,Nematanthus savannarum,-60.86,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2555,26751,2308552911,MF786268,Nematanthus savannarum,-59.48,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2556,26752,2306505134,MF786083,Nematanthus savannarum,-59.48,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2557,26753,2305518352,MF786311,Nematanthus savannarum,-60.86,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2558,26754,2304293284,MF785350,Nematanthus savannarum,-59.48,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2569,26766,2306014879,MF786404,Nietneria paniculata,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2576,26848,2311066865,MF785451,Notopora schomburgkii,-60.28,5.7,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2577,26849,2309158680,MF786437,Notopora schomburgkii,-60.28,5.7,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2578,26850,2307194670,MF786200,Notopora schomburgkii,-60.28,5.7,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2579,26851,2310642834,MF786179,Ochthocosmus roraimae,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2580,26852,2304427157,MF786406,Ochthocosmus roraimae,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2617,26893,2310348948,MF786393,Orectanthe sceptrum,-60.27,5.77,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
