X,X.1,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1,
1191,1330,5216,2309575258,KJ734461,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1192,1331,5217,2309573722,KJ734547,Ficus insipida,-70.41,-13.5,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1193,1332,5218,2309572358,KJ734412,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1194,1335,5221,2309513378,KJ734544,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1195,1338,5224,2309458942,KJ734545,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1196,1340,5226,2309447446,KJ734458,Ficus insipida,-64.78,-17,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1197,1341,5227,2309411106,KJ734532,Ficus insipida,-75.35,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1198,1344,5230,2309302682,KJ734409,Ficus insipida,-71.36,-11.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1199,1355,5241,2308965030,KJ734462,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1200,1356,5242,2308963182,KJ734342,Ficus insipida,-73.71,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1201,1359,5245,2308774470,KJ734414,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1202,1361,5247,2308719155,KJ734407,Ficus insipida,-71.36,-11.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1203,1362,5248,2308705643,KJ734460,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1204,1366,5252,2308666105,KJ734540,Ficus insipida,-71.36,-11.89,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1205,1368,5254,2308645883,KJ734531,Ficus insipida,-75.35,-11.09,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1206,1373,5259,2308449976,KJ734392,Ficus insipida,-75.35,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1207,1374,5260,2308439169,KJ734537,Ficus insipida,-74.65,-11.18,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1208,1378,5264,2308399046,KJ734339,Ficus insipida,-73.73,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
