"gbifID";"occurrenceID";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"88";2309315735;"EU872918";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"89";2309288711;"LT630677";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"90";2309274027;"KU159998";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"91";2309266648;"KU159987";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"92";2309266067;"LT630685";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"93";2309264736;"EU872786";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"94";2309236653;"JN661793";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Bignoniaceae";"Jacaranda";""
"95";2309226766;"KU160010";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"96";2309224000;"KU160009";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"97";2309223170;"KU160051";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"98";2309185084;"KU160016";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"99";2309181998;"LT630686";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"100";2309165341;"KU160055";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"101";2309154479;"LT630673";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"102";2309110087;"KU160050";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"103";2309108768;"KU160007";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"104";2309105475;"LT630678";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"105";2309095325;"LT630635";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"106";2309066948;"KU159986";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"107";2309033199;"EU872665";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"108";2309023305;"KU159896";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"109";2309010946;"KP878500";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Ankistrodesmus";""
"110";2308999085;"DQ514105";"Plantae";"Bryophyta";"";"";"";"";""
"111";2308997502;"KP878510";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Scenedesmaceae";"Scenedesmus";""
"112";2308925675;"LT630620";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"113";2308907506;"KU159991";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"114";2308890065;"EU872831";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"115";2308874095;"LT630638";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"116";2308868745;"EU872536";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"117";2308861463;"KU160002";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"118";2308829797;"LT630629";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"119";2308774149;"LT630641";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"120";2308761067;"LT630689";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"121";2308697090;"KU160005";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"122";2308687171;"KU160054";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"123";2308681754;"KU160014";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"124";2308636154;"LT630627";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"125";2308624884;"EU872667";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"126";2308614910;"KU159898";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"127";2308613975;"KU159899";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"128";2308600573;"EU872534";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
